section,section_ml,item,sub,sizes,price,note
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram King Fish Fry,അയക്കൂറ,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Pomfret Fry,ആവോലി,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Mackerel Fry,അയല,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Sea Bass Fry,കാളാഞ്ചി,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Sole Fish Fry,മാന്തൾ,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Prawns Fry,ചെമ്മീൻ,,,Priced by the day's catch — please ask
From the Sea,കടൽ വിഭവങ്ങൾ,Mangalapuram Squid Fry,കൂന്തൽ,,,Priced by the day's catch — please ask
Mangalapuram Special,മംഗലാപുരം സ്പെഷ്യൽ,Chicken Ghee Roast,,,250,
Mangalapuram Special,മംഗലാപുരം സ്പെഷ്യൽ,Prawn Ghee Roast,,,,Seasonal
Mangalapuram Special,മംഗലാപുരം സ്പെഷ്യൽ,Squid Ghee Roast,,,,Seasonal
Meals,ഊണ്,Meals,Served for one,,100,
Mandi Rice,മന്ദി റൈസ്,Mandi Rice,,Qtr=100|Half=200|Full=400,,
Salads,സാലഡ്,Hayat Special Salad,,,250,
Salads,സാലഡ്,Fruit & Veg Salad,,,200,
Salads,സാലഡ്,Pineapple Honey Mint Salad,,,150,
Salads,സാലഡ്,Garden Salad,,,80,
Mandi,മന്ദി,King Fish Mandi,അയക്കൂറ,,,Whole seer · market price
Mandi,മന്ദി,Chicken Mandi,,Qtr=160|Half=320|Full=600,,
Mandi,മന്ദി,Mandi Chicken Only,,Qtr=100|Half=200|Full=400,,
Mandi,മന്ദി,Beef Alfaham Mandi,,Qtr=250|Half=500|Full=1000,,
Mandi,മന്ദി,Creamy Alfaham Mandi,With alfaham,Qtr=210|Half=420|Full=840,,
Mandi,മന്ദി,Afghani Alfaham Mandi,With alfaham,Qtr=200|Half=400|Full=780,,
Mandi,മന്ദി,Dynamic Alfaham Mandi,With alfaham,Qtr=200|Half=400|Full=780,,
Mandi,മന്ദി,Honey Chilli Alfaham Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Kondattam Alfaham Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Kanthari Alfaham Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Pepper Alfaham Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Peri Peri Alfaham Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Honey Mandi,With alfaham,Qtr=190|Half=380|Full=720,,
Mandi,മന്ദി,Alfaham Mandi,With alfaham,Qtr=180|Half=360|Full=660,,
Mandi,മന്ദി,Creamy Shawaya Mandi,With shawaya,Qtr=220|Half=440|Full=850,,
Mandi,മന്ദി,Dynamic Shawaya Mandi,With shawaya,Qtr=210|Half=420|Full=830,,
Mandi,മന്ദി,Masala Shawaya Mandi,With shawaya,Qtr=210|Half=420|Full=830,,
Mandi,മന്ദി,Shawaya Mandi,With shawaya,Qtr=190|Half=380|Full=720,,
Alfaham,അൽഫഹം,Creamy Alfaham,,Qtr=150|Half=300|Full=600,,
Alfaham,അൽഫഹം,Afghani Alfaham,,Qtr=150|Half=300|Full=600,,
Alfaham,അൽഫഹം,Dynamic Alfaham,,Qtr=140|Half=280|Full=560,,
Alfaham,അൽഫഹം,Masala Alfaham,,Qtr=140|Half=280|Full=560,,
Alfaham,അൽഫഹം,Kondattam Alfaham,,Qtr=140|Half=280|Full=550,,
Alfaham,അൽഫഹം,Honey Alfaham,,Qtr=130|Half=260|Full=500,,
Alfaham,അൽഫഹം,Honey Chilli Alfaham,,Qtr=130|Half=260|Full=500,,
Alfaham,അൽഫഹം,Kanthari Alfaham,,Qtr=130|Half=260|Full=500,,
Alfaham,അൽഫഹം,Pepper Alfaham,,Qtr=130|Half=260|Full=500,,
Alfaham,അൽഫഹം,Peri Peri Alfaham,,Qtr=130|Half=260|Full=500,,
Alfaham,അൽഫഹം,Alfaham Only,,Qtr=120|Half=240|Full=460,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Ginger Chicken,,Qtr=200|Half=390,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Pepper Chicken Dry,,Qtr=200|Half=390,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Chicken Kondattam,,Qtr=200|Half=390,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Chicken Lollipop,,Qtr=200|Half=390,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Dragon Chicken,,Qtr=200|Half=390,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Garlic Chicken,,Qtr=190|Half=370,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Chicken 65,,Qtr=180|Half=350,,
Starters,സ്റ്റാർട്ടേഴ്സ്,Chicken Wings,,Qtr=180|Half=350,,
Beef,ബീഫ്,Beef Ghee Roast,,Qtr=240|Half=470,,
Beef,ബീഫ്,Beef Kadai,,Qtr=240|Half=470,,
Beef,ബീഫ്,Beef Pepper Masala,,Qtr=240|Half=470,,
Beef,ബീഫ്,Beef Dry Fry,,Qtr=240|Half=460,,
Beef,ബീഫ്,Beef Roast,,Qtr=230|Half=450,,
Beef,ബീഫ്,Beef Fry,,Qtr=230|Half=450,,
Beef,ബീഫ്,Beef Chilli,,Qtr=230|Half=450,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Honey Chilli Chicken,,Dry Qtr=190|Dry Half=370|Gravy Qtr=210|Gravy Half=410,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Schezwan Chicken,,Dry Qtr=190|Dry Half=370|Gravy Qtr=210|Gravy Half=410,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Chicken Chilli,,Dry Qtr=180|Dry Half=350|Gravy Qtr=200|Gravy Half=390,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Chicken Manchurian,,Dry Qtr=180|Dry Half=350|Gravy Qtr=200|Gravy Half=390,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Paneer Chilli,,Dry Qtr=190|Dry Half=370|Gravy Qtr=210|Gravy Half=410,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Paneer Manchurian,,Dry Qtr=190|Dry Half=370|Gravy Qtr=210|Gravy Half=410,,
Chilli & Manchurian,ചില്ലി & മഞ്ചൂരിയൻ,Mushroom Chilli,,Dry Qtr=190|Dry Half=370|Gravy Qtr=210|Gravy Half=410,,
